169.889	1.92921e+06	290.347	14147.7
189.755	1.66843e+07	493.434	70794.5
286.501	8.12378e+06	438.66	35654.4
316.287	5.86021e+06	274.838	23942.3
334.719	4.43262e+07	1211.44	142240
434.143	4.02932e+07	889.971	113431
496.13	3.26731e+07	604.991	83918.1
536.93	3.92658e+07	623.801	93406.5
578.955	1.04238e+08	1277.38	218623
668.164	1.17254e+08	1141.07	218649
746.234	1.09113e+08	893.453	186385
806.542	1.68348e+08	1155.64	263427
884.939	2.34899e+08	1330.96	333987
975.368	1.76023e+08	866.717	233025
1033.51	1.14373e+08	516.83	144998
1068.03	2.90177e+08	1170.94	347876
1146.87	2.56206e+08	919.098	289467
1208.43	3.38688e+08	1085.29	361719
1281.27	3.46147e+08	996.318	350317
1348.01	5.59631e+08	1422.21	532404
1443.72	5.06265e+08	1146.48	454465
1520.52	9.28047e+07	198.94	81022
1533.79	5.93197e+08	1191.92	501579
1613.61	4.00006e+08	743.762	325282
1663.28	1.23658e+08	221.489	98683.9
1678.04	2.42804e+08	423.76	191275
1706.31	8.18815e+08	1328.84	622242
1795.33	9.92556e+08	1452.04	716139
1892.61	7.7018e+08	1034.16	532272
1961.73	1.10614e+09	1366.93	733450
