3 100
4.0	224.0
5.0	350.0
6.0	504.0
7.0	686.0
8.0	896.0
9.0	1134.0
10.0	1400.0
11.0	1694.0
12.0	2016.0
13.0	2366.0
14.0	2744.0
15.0	3150.0
16.0	3584.0
17.0	4046.0
18.0	4536.0
19.0	5054.0
20.0	5600.0
21.0	6174.0
22.0	6776.0
23.0	7406.0
24.0	8064.0
25.0	8750.0
26.0	9464.0
27.0	10206.0
28.0	10976.0
29.0	11774.0
30.0	12600.0
31.0	13454.0
32.0	14336.0
33.0	15246.0
34.0	16184.0
35.0	17150.0
36.0	18144.0
37.0	19166.0
38.0	20216.0
39.0	21294.0
40.0	22400.0
41.0	23534.0
42.0	24696.0
43.0	25886.0
44.0	27104.0
45.0	28350.0
46.0	29624.0
47.0	30926.0
48.0	32256.0
49.0	33614.0
50.0	35000.0
51.0	36414.0
52.0	37856.0
53.0	39326.0
54.0	40824.0
55.0	42350.0
56.0	43904.0
57.0	45486.0
58.0	47096.0
59.0	48734.0
60.0	50400.0
61.0	52094.0
62.0	53816.0
63.0	55566.0
64.0	57344.0
65.0	59150.0
66.0	60984.0
67.0	62846.0
68.0	64736.0
69.0	66654.0
70.0	68600.0
71.0	70574.0
72.0	72576.0
73.0	74606.0
74.0	76664.0
75.0	78750.0
76.0	80864.0
77.0	83006.0
78.0	85176.0
79.0	87374.0
80.0	89600.0
81.0	91854.0
82.0	94136.0
83.0	96446.0
84.0	98784.0
85.0	101150.0
86.0	103544.0
87.0	105966.0
88.0	108416.0
89.0	110894.0
90.0	113400.0
91.0	115934.0
92.0	118496.0
93.0	121086.0
94.0	123704.0
95.0	126350.0
96.0	129024.0
97.0	131726.0
98.0	134456.0
99.0	137214.0
100.0	140000.0
101.0	142814.0
102.0	145656.0
103.0	148526.0
